INCIDENT_DATE,INCIDENT_TIME,UOF_NUMBER,OFFICER_ID,OFFICER_GENDER,OFFICER_RACE,OFFICER_HIRE_DATE,OFFICER_YEARS_ON_FORCE,OFFICER_INJURY,OFFICER_INJURY_TYPE,OFFICER_HOSPITALIZATION,SUBJECT_ID,SUBJECT_RACE,SUBJECT_GENDER,SUBJECT_INJURY,SUBJECT_INJURY_TYPE,SUBJECT_WAS_ARRESTED,SUBJECT_DESCRIPTION,SUBJECT_OFFENSE,REPORTING_AREA,BEAT,SECTOR,DIVISION,LOCATION_DISTRICT,STREET_NUMBER,STREET_NAME,STREET_DIRECTION,STREET_TYPE,LOCATION_FULL_STREET_ADDRESS_OR_INTERSECTION,LOCATION_CITY,LOCATION_STATE,LOCATION_LATITUDE,LOCATION_LONGITUDE,INCIDENT_REASON,REASON_FOR_FORCE,TYPE_OF_FORCE_USED1,TYPE_OF_FORCE_USED2,TYPE_OF_FORCE_USED3,TYPE_OF_FORCE_USED4,TYPE_OF_FORCE_USED5,TYPE_OF_FORCE_USED6,TYPE_OF_FORCE_USED7,TYPE_OF_FORCE_USED8,TYPE_OF_FORCE_USED9,TYPE_OF_FORCE_USED10,NUMBER_EC_CYCLES,FORCE_EFFECTIVE
12/24/16,8:55:00 AM," 38840, 38841",9705,Male,White,1/7/09,8,No,No injuries noted or visible,No,47889,White,Female,No,No injuries noted or visible,Yes,Alchohol and unknown drugs,APOWW,4403,614,610,NORTH CENTRAL,D12,18600,Dallas N,NULL,Pkwy.,18600 DALLAS NORTH TOLLWAY,Dallas,TX,,,Arrest,Arrest,Held Suspect Down,Hand Controlled Escort,,,,,,,,,NULL," Yes, Yes"
12/23/16,1:45:00 AM," 38816, 38817",10066,Male,White,11/11/09,7,No,No injuries noted or visible,No,47871,Black,Female,No,No injuries noted or visible,Yes,Marijuana,Assault/FV,6018,235,230,NORTHEAST,D9,9940,Poppy Drive,NULL,Dr.,9500 POPPY DR,Dallas,TX,,,Arrest,Arrest,Held Suspect Down,Leg Restraint System,,,,,,,,,NULL," Yes, Yes"
12/23/16,1:45:00 AM," 38818, 38819",10224,Male,White,8/18/10,6,No,No injuries noted or visible,No,47871,Black,Female,No,No injuries noted or visible,Yes,Marijuana,Assault/FV,6018,235,230,NORTHEAST,D9,9940,Poppy Drive,NULL,Dr.,9500 POPPY DR,Dallas,TX,,,Arrest,Arrest,Held Suspect Down,Leg Restraint System,,,,,,,,,NULL," Yes, Yes"
11/8/16,2:30:00 AM," 37890, 37891, 37892",9626,Male,American Ind,9/17/08,8,No,No injuries noted or visible,No,47307,Black,Male,No,No injuries noted or visible,Yes,Unknown Drugs,Other Misdemeanor Arrest,2167,346,340,SOUTHEAST,D7,4600,MALCOLM X,S,Blvd.,4600 S MALCOLM X BLVD,Dallas,TX,,,Service Call,Arrest,Verbal Command,Take Down - Arm,Held Suspect Down,,,,,,,,NULL," No, Yes, Yes"
10/23/16,6:00:00 PM," 37656, 37657",10355,Male,White,5/9/12,4,No,No injuries noted or visible,No,47130,Hispanic,Male,No,No injuries noted or visible,Yes,Alchohol,"DWI, Resisting Search and Transport, Resisting Arrest, Other Felony Arrest",1055,246,240,NORTHEAST,D10,10100,LBJ,W,Frwy.,10100 L B J FWY,Dallas,TX,,,Arrest,Arrest,BD - Pushed,BD - Tripped,,,,,,,,,NULL," Yes, Yes"
10/23/16,6:00:00 PM," 37685, 37686, 37687",10334,Male,Hispanic,3/28/12,5,No,No injuries noted or visible,No,47130,Hispanic,Male,No,No injuries noted or visible,Yes,Alchohol,"DWI, Resisting Search and Transport, Other Felony Arrest",1055,246,240,NORTHEAST,D10,10100,LBJ Service,E,Hwy.,10100 L B J FWY,Dallas,TX,,,Arrest,Detention/Frisk,Held Suspect Down,Held Suspect Down,Joint Locks,,,,,,,,NULL," Yes, Yes, Yes"
10/18/16,6:30:00 PM,37532,9215,Male,Black,9/5/07,9,No,No injuries noted or visible,No,47025,Hispanic,Male,No,No injuries noted or visible,No,None detected,No Arrest,1030,252,250,NORTHEAST,D10,9400,LBJ,NULL,Frwy.,9400 L B J FWY,Dallas,TX,,,Service Call,Detention/Frisk,Weapon display at Person,,,,,,,,,,NULL, Yes
10/12/16,2:30:00 AM," 37408, 37409",8517,Female,White,6/4/04,12,No,No injuries noted or visible,No,46943,Black,Male,No,No injuries noted or visible,Yes,None detected,Other Misdemeanor Arrest,1197,237,230,NORTHEAST,D9,6897,VALLEY GLEN,NULL,Dr.,6897 VALLEY GLEN DR,Dallas,TX,,,Suspicious Activity,Arrest,Weapon display at Person,Verbal Command,,,,,,,,,NULL," Yes, Yes"
10/10/16,1:30:00 AM," 37378, 37379",10701,Male,Black,11/6/13,3,No,No injuries noted or visible,No,46908,Hispanic,Male,No,No injuries noted or visible,Yes,Alchohol and unknown drugs,"DWI, Other Misdemeanor Arrest, Drug Possession - Misdemeanor",2020,121,120,CENTRAL,D14,2486,maple/routh connection,NULL,NULL,2486 MAPLE ROUTH CONN,Dallas,TX,,,Arrest,Arrest,Verbal Command,Weapon display at Person,,,,,,,,,NULL," Yes, Yes"
9/7/16,6:00:00 PM,36725,10372,Male,Black,5/9/12,4,No,No injuries noted or visible,No,46551,White,Female,Yes,Abrasion/Scrape,Yes,Mentally unstable,APOWW,2222,354,350,SOUTHEAST,D8,8630,Fireside,NULL,Dr.,8630 FIRESIDE DR,Dallas,TX,32.697895,-96.670834,Service Call,Arrest,Handcuffing Take Down,,,,,,,,,,NULL, Yes
10/8/16,4:00:00 AM," 37309, 37310",10130,Male,White,3/3/10,7,No,No injuries noted or visible,No,46888,White,Male,No,No injuries noted or visible,Yes,None detected,Warrant/Hold,1030,252,250,NORTHEAST,D10,9200,LBJ Service Rd,W,Frwy.,9200 L B J FWY,Dallas,TX,,,Arrest,Arrest,Verbal Command,Weapon display at Person,,,,,,,,,NULL," No, No"
10/8/16,4:00:00 AM,37311,10870,Male,White,8/13/14,2,No,No injuries noted or visible,No,46888,White,Male,No,No injuries noted or visible,Yes,None detected,Warrant/Hold,1030,252,250,NORTHEAST,D10,9200,LBJ Service Rd,W,Frwy.,9200 L B J FWY,Dallas,TX,,,Traffic Stop,Arrest,Weapon display at Person,,,,,,,,,,NULL, Yes
10/3/16,9:00:00 PM," 37231, 37232, 37233",10503,Male,White,4/10/13,3,No,No injuries noted or visible,No,46862,Black,Male,Yes,"Abrasion/Scrape, Treated by DFD",Yes,Unknown,"Evading Arrest, Warrant/Hold, Other Misdemeanor Arrest",2165,346,340,SOUTHEAST,D7,4300,Malcolm X,S,Blvd.,4300 S MALCOLM X BLVD,Dallas,TX,,,Traffic Stop,Weapon Display,Verbal Command,Weapon display at Person,BD - Pushed,,,,,,,,NULL," No, No, Yes"
9/23/16,6:50:00 PM," 36980, 36981, 36982",11028,Male,White,6/3/15,1,No,No injuries noted or visible,No,46705,Black,Male,Yes,Taser Burn Marks,Yes,FD-Suspect w/ Other Weapon,"Assault, Assault/Public Servant",4225,728,720,SOUTH CENTRAL,D4,3115,PARROTT,NULL,St.,3315 PARROT ST,Dallas,TX,,,Service Call,Weapon Display,Taser,Held Suspect Down,Weapon display at Person,,,,,,,,1," Yes, Yes, Yes"
9/21/16,4:32:00 PM," 36941, 36942",10724,Male,White,1/29/14,3,No,No injuries noted or visible,No,46678,Black,Male,No,No injuries noted or visible,Yes,Alchohol and unknown drugs,"Public Intoxication, Fail to ID",2072,133,130,CENTRAL,D2,900,Wood,NULL,St.,900 WOOD ST,Dallas,TX,,,Arrest,Other,Verbal Command,Pressure Points,,,,,,,,,NULL," No, Yes"
9/13/16,12:25:00 AM,36791,7310,Male,White,11/8/95,21,No,No injuries noted or visible,No,46578,Black,Male,No,No injuries noted or visible,Yes,FD-Suspect Unarmed,"Warrant/Hold, Drug Possession - Misdemeanor",4521,643,640,NORTH CENTRAL,D11,8051,LBJ SERVICE RD WB,NULL,Rd.,8051 L B J FWY,Dallas,TX,,,Other ( In Narrative),Other,Weapon display at Person,,,,,,,,,,NULL, Yes
9/12/16,12:25:00 AM,36776,8862,Male,Hispanic,6/30/06,10,No,No injuries noted or visible,No,46578,Black,Male,No,No injuries noted or visible,Yes,FD-Unknown if Armed,"Warrant/Hold, Other Misdemeanor Arrest",4521,643,640,NORTH CENTRAL,D11,8051,LYNDON B JOHNSON,W,Frwy.,8051 L B J FWY,Dallas,TX,,,Crime in Progress,Danger to self or others,Weapon display at Person,,,,,,,,,,NULL, Yes
8/3/16,1:45:00 PM," 35974, 35976",5806,Male,White,6/16/88,28,No,No injuries noted or visible,No,46043,Black,Female,No,No injuries noted or visible,Yes,Mentally unstable,APOWW,1027,642,640,NORTH CENTRAL,D11,8102,LYNDON B. JOHNSON,NULL,Frwy.,8102 L B J FWY,Dallas,TX,,,Arrest,Active Aggression,Take Down - Arm,BD - Grabbed,,,,,,,,,NULL," Yes, Yes"
8/3/16,1:45:00 PM," 35979, 35980",5273,Male,White,8/15/85,31,No,No injuries noted or visible,No,46044,Black,Female,No,No injuries noted or visible,Yes,Mentally unstable,APOWW,1027,642,640,NORTH CENTRAL,D11,8102,LBJ FREEWAY,NULL,NULL,8102 L B J FWY,Dallas,TX,,,Arrest,Active Aggression,Take Down - Arm,BD - Grabbed,,,,,,,,,NULL," Yes, Yes"
8/3/16,1:45:00 PM," 35977, 35978",5273,Male,White,8/15/85,31,No,No injuries noted or visible,No,46043,Black,Female,No,No injuries noted or visible,Yes,Mentally unstable,APOWW,1027,642,640,NORTH CENTRAL,D11,8102,LYNDON B. JOHNSON,NULL,Frwy.,8102 L B J FWY,Dallas,TX,,,Arrest,Active Aggression,BD - Grabbed,Take Down - Arm,,,,,,,,,NULL," Yes, Yes"
8/3/16,1:45:00 PM," 35981, 35982",5806,Male,White,6/16/88,28,No,No injuries noted or visible,No,46044,Black,Female,No,No injuries noted or visible,Yes,Mentally unstable,APOWW,1027,642,640,NORTH CENTRAL,D11,8102,LBJ FREEWAY,NULL,NULL,8102 L B J FWY,Dallas,TX,,,Arrest,Active Aggression,BD - Grabbed,Take Down - Arm,,,,,,,,,NULL," Yes, Yes"
7/28/16,11:30:00 PM,36310,10913,Male,White,10/22/14,2,No,No injuries noted or visible,No,30402,Black,Male,No,No injuries noted or visible,Yes,Alchohol,"Evading Arrest, Public Intoxication",4532,312,310,SOUTHEAST,D7,4845,Elsie Faye Heggins,NULL,St.,4845 ELSIE FAYE HEGGINS ST,Dallas,TX,,,Arrest,Weapon Display,Weapon display at Person,,,,,,,,,,NULL, Yes
7/18/16,1:30:00 PM,35734,5485,Male,Black,9/29/86,30,No,No injuries noted or visible,No,45867,Black,Female,Yes,Taser Burn Marks,Yes,Mentally unstable,"Assault/Public Servant, Crim Trespass/Bldg/Prop, Evading Arrest",4381,745,740,SOUTH CENTRAL,D8,39690,LBJ Freeway,NULL,Frwy.,39690 L B J FWY,Dallas,TX,,,Arrest,Active Aggression,Verbal Command,,,,,,,,,,NULL, Yes
7/18/16,1:30:00 PM," 35753, 35754",9649,Male,White,10/29/08,8,No,Abrasion/Scrape,No,45867,Black,Female,No,Taser Burn Marks,Yes,Mentally unstable,"Assault/Public Servant, Evading Arrest, Crim Trespass/Bldg/Prop",4388,748,740,SOUTH CENTRAL,D8,39000,LBJ FREEWAY S/R E/B,NULL,NULL,39000 L B J FWY,Dallas,TX,,,Arrest,Danger to self or others,Other Impact Weapon,Taser,,,,,,,,,3," No, Limited"
7/18/16,1:30:00 PM,35755,10824,Male,Black,6/18/14,2,No,No injuries noted or visible,No,45867,Black,Female,No,Treated by DFD,Yes,Mentally unstable,"Assault/Public Servant, Evading Arrest, Crim Trespass/Bldg/Prop",4381,745,740,SOUTH CENTRAL,D8,39690,LBJ Freeway,E,Frwy.,39690 L B J FWY,Dallas,TX,,,Arrest,Danger to self or others,Hand Controlled Escort,,,,,,,,,,NULL, Yes
7/18/16,1:30:00 PM,35735,11056,Male,Hispanic,7/29/15,1,No,No injuries noted or visible,No,45867,Black,Female,Yes,"Puncture, Hospitalized",Yes,Mentally unstable,"Assault/Public Servant, Evading Arrest, Crim Trespass/Bldg/Prop",4381,745,740,SOUTH CENTRAL,D8,39690,LBJ Freeway Service Road,NULL,Frwy.,39690 L B J FWY,Dallas,TX,,,Arrest,Arrest,Handcuffing Take Down,,,,,,,,,,NULL, Yes
10/1/16,7:00:00 PM,37186,10846,Male,Hispanic,2/6/13,4,No,No injuries noted or visible,No,46822,White,Male,Yes,Puncture,No,Unknown Drugs,No Arrest,6001,622,620,NORTH CENTRAL,D11,5507,Bent,NULL,Trl.,5507 BENT TRL,Dallas,TX,32.976635,-96.818293,Service Call,Danger to self or others,Taser,,,,,,,,,,2, Yes
7/18/16,1:30:00 PM,36940,7993,Male,Black,11/30/01,15,No,No injuries noted or visible,No,45867,Black,Female,No,No injuries noted or visible,Yes,Mentally unstable,"Assault/Public Servant, Crim Trespass/Bldg/Prop, Evading Arrest",4381,745,740,SOUTH CENTRAL,D8,39690,Lyndon B Johnson,NULL,Frwy.,39690 L B J FWY,Dallas,TX,,,Service Call,Arrest,Weapon display at Person,,,,,,,,,,NULL, No
7/18/16,11:45:00 PM," 35760, 35761, 35762, 35763",10586,Male,Other,6/19/13,3,No,No injuries noted or visible,No,45884,Black,Male,Yes,Abrasion/Scrape,Yes,Unknown,"Other Felony Arrest, Drug Possession - Misdemeanor",2167,346,340,SOUTHEAST,D7,4600,Malcolm X,S,Blvd.,4600 S MALCOLM X BLVD,Dallas,TX,,,Service Call,Arrest,Verbal Command,Hand/Arm/Elbow Strike,Hand/Arm/Elbow Strike,Feet/Leg/Knee Strike,,,,,,,NULL," No, No, No, Yes"
7/18/16,11:45:00 PM," 35757, 35758, 35759",10503,Male,White,4/10/13,3,No,No injuries noted or visible,No,45884,Black,Male,No,Abrasion/Scrape,Yes,Marijuana,"Drug Possession - Felony, Other Felony Arrest, Resisting Arrest",2167,346,340,SOUTHEAST,D7,4600,MALCOLM X BLVD,S,Blvd.,4600 S MALCOLM X BLVD,Dallas,TX,,,Suspicious Activity,Detention/Frisk,Verbal Command,Take Down - Head,Take Down - Group,,,,,,,,NULL," No, Yes, Yes"
7/18/16,11:45:00 PM," 35897, 35898, 35899, 35900, 35901",9180,Male,White,5/28/08,8,No,No injuries noted or visible,No,45884,Black,Male,Yes,Abrasion/Scrape,Yes,Unknown Drugs,"Other Felony Arrest, Drug Possession - Misdemeanor, Resisting Arrest",2167,346,340,SOUTHEAST,D7,4600,s. malcolm x,NULL,Blvd.,4600 S MALCOLM X BLVD,Dallas,TX,,,Arrest,Arrest,Verbal Command,Feet/Leg/Knee Strike,Held Suspect Down,Verbal Command,Hand/Arm/Elbow Strike,,,,,,NULL," No, Yes, Yes, No, Yes"
7/18/16,3:08:00 PM," 35729, 35730, 35731",10322,Male,White,3/28/12,4,No,No injuries noted or visible,No,45866,NULL,Male,No,No injuries noted or visible,No,FD-Unknown if Armed,No Arrest,8814,313,310,SOUTHEAST,D7,4848,ELSIE FAYE HEGGINS,NULL,NULL,4848 ELSIE FAYE HEGGINS ST,Dallas,TX,,,Arrest,Arrest,Verbal Command,BD - Grabbed,Held Suspect Down,,,,,,,,NULL," No, No, Yes"
7/18/16,3:08:00 PM,35733,6484,Male,Hispanic,3/17/89,27,No,No injuries noted or visible,No,45866,NULL,Male,No,No injuries noted or visible,No,FD-Unknown if Armed,No Arrest,8814,313,310,SOUTHEAST,D7,4848,Elsie Fay Higgens,NULL,NULL,4848 ELSIE FAYE HEGGINS ST,Dallas,TX,,,Warrant Execution,Other,Take Down - Head,,,,,,,,,,NULL, Yes
7/18/16,3:08:00 PM,35728,8799,Male,White,3/29/06,10,No,No injuries noted or visible,No,45866,NULL,Male,No,No injuries noted or visible,No,None detected,No Arrest,8814,313,310,SOUTHEAST,D7,4848,Elsie Faye Heggins,NULL,St.,4848 ELSIE FAYE HEGGINS ST,Dallas,TX,,,Warrant Execution,Arrest,Held Suspect Down,,,,,,,,,,NULL, Yes
7/18/16,3:08:00 PM,35732,9857,Male,White,6/10/09,7,No,No injuries noted or visible,No,45866,NULL,Male,No,No injuries noted or visible,No,None detected,No Arrest,8814,313,310,SOUTHEAST,D7,4846,Elsie Faye Heggins,NULL,St.,4846 ELSIE FAYE HEGGINS ST,Dallas,TX,,,Warrant Execution,Other,Held Suspect Down,,,,,,,,,,NULL, Yes
6/1/16,6:50:00 PM,34793,9144,Male,Black,5/30/07,9,No,No injuries noted or visible,No,45315,White,Male,No,No injuries noted or visible,Yes,Alchohol and unknown drugs,"Public Intoxication, Drug Possession - Misdemeanor",1020,635,630,NORTH CENTRAL,D11,7909,Lyndon B Johnson,NULL,Frwy.,7909 L B J FWY,Dallas,TX,,,Arrest,Active Aggression,Verbal Command,,,,,,,,,,NULL, Yes
6/1/16,6:50:00 PM,34792,9949,Male,Hispanic,8/19/09,7,No,No injuries noted or visible,No,45315,White,Male,No,No injuries noted or visible,Yes,Alchohol and unknown drugs,"Public Intoxication, Drug Possession - Misdemeanor",1020,635,630,NORTH CENTRAL,D11,7909,Lyndon B Johnson,NULL,Frwy.,7909 L B J FWY,Dallas,TX,,,Arrest,Active Aggression,Held Suspect Down,,,,,,,,,,NULL, Yes
5/30/16,10:00:00 PM,34833,9654,Male,Black,10/29/08,8,No,No injuries noted or visible,No,45342,Hispanic,Male,No,No injuries noted or visible,Yes,NULL,Other Misdemeanor Arrest,4399,229,220,NORTHEAST,D9,5200,BARNES BRIDGE,NULL,Rd.,5201 BARNES BRIDGE RD,Dallas,TX,,,Arrest,Arrest,Joint Locks,,,,,,,,,,NULL, Yes
5/23/16,7:11:00 PM," 34620, 34621, 34622, 34623, 34624",10969,Male,White,1/28/15,1,Yes,Abrasion/Scrape,No,45138,Black,Male,No,No injuries noted or visible,Yes,Unknown Drugs,"Theft, Evading Arrest, Other Felony Arrest, Other Misdemeanor Arrest, Drug Possession - Misdemeanor, Warrant/Hold",2167,346,340,SOUTHEAST,D7,4600,Malcolm X,S,Blvd.,4600 S MALCOLM X BLVD,Dallas,TX,,,Suspicious Activity,Arrest,Verbal Command,Taser,BD - Grabbed,Take Down - Head,Held Suspect Down,,,,,,NULL," No, No, No, No, No"
5/23/16,7:11:00 PM," 34615, 34616, 34617, 34618, 34625",10823,Male,Asian,6/18/14,2,No,No injuries noted or visible,No,45138,Black,Male,No,"Puncture, Non-Visible Injury/Pain",Yes,Unknown,"Theft, Evading Arrest, Other Felony Arrest, Other Misdemeanor Arrest, Drug Possession - Misdemeanor, Warrant/Hold",2167,346,340,SOUTHEAST,D7,4600,Malcolm X,S,Blvd.,4600 S MALCOLM X BLVD,Dallas,TX,,,Suspicious Activity,Detention/Frisk,Verbal Command,Taser,Handcuffing Take Down,Baton Strike/Open Mode,Feet/Leg/Knee Strike,,,,,,2," No, Limited, No, No, No"
5/14/16,4:50:00 PM," 34425, 34426, 34427",9762,Male,White,3/18/09,7,No,No injuries noted or visible,No,38942,Black,Female,Yes,Injury Not Related to Force,Yes,Mentally unstable,APOWW,4433,355,350,SOUTHEAST,D8,2222,St Augustine,N,Rd.,2222 S SAINT AUGUSTINE RD,Dallas,TX,,,Arrest,Danger to self or others,Verbal Command,BD - Grabbed,BD - Pushed,,,,,,,,NULL," No, Yes, Yes"
4/16/16,1:57:00 PM," 33854, 33855, 33856",8738,Male,White,11/30/05,10,Yes,Fluid Exposure,No,36884,Hispanic,Male,No,No injuries noted or visible,Yes,Mentally unstable,Assault/Public Servant,4149,433,430,SOUTHWEST,D3,1003,Condor,NULL,Dr.,1003 CONDOR DR,Dallas,TX,,,Arrest,Active Aggression,Take Down - Arm,Held Suspect Down,Verbal Command,,,,,,,,NULL," Yes, Yes, Yes"
1/3/16,8:45:00 PM," 31206, 31207",10710,Male,White,11/6/13,2,No,No injuries noted or visible,No,43002,Asian,Male,No,No injuries noted or visible,Yes,Unknown Drugs,"Other Misdemeanor Arrest, DWLI",2058,131,130,CENTRAL,D14,700,WOODALL ROGERS,N,Frwy.,700 WOODALL RODGERS FWY,Dallas,TX,,,Traffic Stop,Danger to self or others,Weapon display at Person,Verbal Command,,,,,,,,,NULL," Yes, Yes"
4/3/16,5:40:00 AM," 33553, 33554, 33555, 33556, 36156",10624,Male,White,8/14/13,3,No,No injuries noted or visible,No,44409,Black,Male,No,No injuries noted or visible,Yes,Unknown,Other Misdemeanor Arrest,2144,346,340,SOUTHEAST,D7,3500,Malcolm X,NULL,Blvd.,3500 S MALCOLM X BLVD,Dallas,TX,,,Other ( In Narrative),Other,BD - Pushed,BD - Grabbed,BD - Grabbed,Take Down - Body,Verbal Command,,,,,,NULL," Yes, Yes, Yes, Yes, No"
3/12/16,11:30:00 PM," 33163, 33164",6798,Male,Black,9/30/91,24,No,No injuries noted or visible,No,44181,White,Male,No,No injuries noted or visible,Yes,Alchohol and unknown drugs,Public Intoxication,6065,131,130,CENTRAL,D2,2900,victory,NULL,Ave.,2900 VICTORY AVE,Dallas,TX,,,Arrest,Active Aggression,Verbal Command,BD - Pushed,,,,,,,,,NULL," No, Yes"
3/12/16,11:30:00 PM," 33415, 33416, 33417",6130,Male,White,9/28/89,26,No,No injuries noted or visible,No,44181,White,Male,No,No injuries noted or visible,Yes,Alchohol and unknown drugs,Public Intoxication,6065,131,130,CENTRAL,D2,2900,victory,NULL,Ave.,2900 VICTORY AVE,Dallas,TX,,,Arrest,Active Aggression,Verbal Command,BD - Grabbed,Held Suspect Down,,,,,,,,NULL," No, Yes, Yes"
3/12/16,11:30:00 PM," 33157, 33158, 33159",6798,Male,Black,9/30/91,24,No,No injuries noted or visible,No,44181,White,Male,No,No injuries noted or visible,Yes,Alchohol and unknown drugs,Public Intoxication,6065,131,130,CENTRAL,D2,2900,victory ave,NULL,NULL,2900 VICTORY AVE,Dallas,TX,,,Arrest,Active Aggression,Verbal Command,Take Down - Arm,Held Suspect Down,,,,,,,,NULL," No, Yes, Yes"
3/12/16,11:30:00 PM," 33160, 33161, 33162",6130,Male,White,9/28/89,26,No,No injuries noted or visible,No,44181,White,Male,No,No injuries noted or visible,Yes,Alchohol and unknown drugs,Public Intoxication,6065,131,130,CENTRAL,D2,2900,victory ave,NULL,NULL,2900 VICTORY AVE,Dallas,TX,,,Arrest,Active Aggression,Verbal Command,Take Down - Arm,Held Suspect Down,,,,,,,,NULL," No, Yes, Yes"
